"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"TPJ"," 655","NCCL","A","24","1","A4072","09:50:00","11:35:00","Y","N","N","N","N","Craigs,Karen Ebden","P","NH"
"TPJ"," 655","NCD","A","48","1","K3265","14:25:00","16:10:00","N","Y","N","N","N","Craigs,Karen Ebden","P","NH"
"WEB"," 322","NAA","A","35","35","A3065","11:40:00","13:25:00","N","Y","N","N","N","Crawford,Patrick Martin","FL","NH"
"WEB"," 322","NAAL","A","35","35","A3527","13:30:00","15:15:00","N","N","N","Y","N","Crawford,Patrick Martin","P","NH"
"WEB"," 322","NBB","A","35","35","A3065","08:00:00","09:45:00","Y","N","N","N","N","Crawford,Patrick Martin","FL","NH"
"WEB"," 322","NBBL","A","35","35","A3527","17:10:00","18:55:00","N","N","N","Y","N","Crawford,Patrick Martin","P","NH"
"WEB"," 422","NAA","A","35","35","A2504","11:40:00","13:25:00","Y","N","N","N","N","Crawford,Patrick Martin","FL","NH"
"WEB"," 422","NAAL","A","35","35","A3527","12:35:00","14:20:00","N","N","N","N","Y","Crawford,Patrick Martin","P","NH"
"WEB"," 422","NSA","A","30","20","B1083","09:50:00","11:35:00","N","Y","N","N","N","Crawford,Patrick Martin","FL","NH"
"WEB"," 422","NSAL","A","30","20","A2534","10:45:00","12:30:00","N","N","N","N","Y","Crawford,Patrick Martin","P","NH"
"ICO"," 155","NDD","A","24","16","A4080","17:10:00","18:55:00","N","Y","N","N","N","Danaei,Houra","P","NH"
"BDA"," 100","NAA","A","25","19","A4513","14:25:00","17:05:00","N","Y","N","N","N","Daoud,Mariam","P","NH"
"BDA"," 300","NAA","A","35","33","C4032","10:45:00","13:25:00","N","N","N","Y","N","Daoud,Mariam","P","NH"
"BDA"," 700","NAA","A","30","30","C3036","10:45:00","13:25:00","N","Y","N","N","N","Daoud,Mariam","P","NH"
"TEC"," 701","NIA","A","36","20","ONLINE","08:55:00","10:40:00","Y","N","N","N","N","De Jong,Nick","OB","NH"
"TEC"," 701","NIA","A","36","20","ONLINE","11:40:00","13:25:00","N","N","N","Y","N","De Jong,Nick","OB","NH"
"BDM"," 550","NAA","A","50","42","K3240","10:45:00","13:25:00","N","N","Y","N","N","Delpisheh,Elnaz","FL","NH"
"BTP"," 100","NAA","A","35","17","B3094","12:35:00","14:20:00","Y","N","N","N","N","Delpisheh,Narjes","P","NH"
"BTP"," 100","NAAL","A","35","17","A3518","11:40:00","13:25:00","N","N","N","Y","N","Delpisheh,Narjes","P","NH"
"OPS"," 106","NAA","A","35","35","C2030","09:50:00","11:35:00","N","N","N","Y","N","Delpisheh,Narjes","P","NH"
"OPS"," 106","NAA","A","35","35","C2030","08:00:00","09:45:00","Y","N","N","N","N","Delpisheh,Narjes","P","NH"
"OPS"," 106","NBB","A","35","35","C2030","08:00:00","09:45:00","N","N","N","N","Y","Delpisheh,Narjes","P","NH"
"OPS"," 106","NBB","A","35","35","C2030","09:50:00","11:35:00","Y","N","N","N","N","Delpisheh,Narjes","P","NH"
"OPS"," 106","NCC","A","35","13","C2030","14:25:00","16:10:00","N","N","Y","N","N","Delpisheh,Narjes","P","NH"
"BTM"," 100","NAA","A","35","20","C3034","08:00:00","10:40:00","N","N","Y","N","N","den Baars,Andre","P","NH"
"BTM"," 500","NAA","A","35","30","A3500","12:35:00","15:15:00","N","N","Y","N","N","den Baars,Andre","P","NH"
"SEA"," 100","NAA","A","40","19","B3042","10:45:00","12:30:00","Y","N","N","N","N","Derakhshan,Farnaz","P","NH"
"SEA"," 100","NAA","A","40","19","A4515","08:55:00","10:40:00","N","N","Y","N","N","Derakhshan,Farnaz","P","NH"
"NET"," 556","NAAL","A","24","22","A4088","10:45:00","13:25:00","N","N","N","N","Y","Derventzis,Christos","P","NH"
"NET"," 556","NBBL","A","24","24","A4088","10:45:00","13:25:00","N","N","Y","N","N","Derventzis,Christos","P","NH"
"NSP"," 655","NAAL","A","24","11","A4088","17:10:00","18:55:00","N","N","N","Y","N","Derventzis,Christos","P","NH"
"NSP"," 655","NBBL","A","24","24","A4088","15:20:00","17:05:00","N","N","Y","N","N","Derventzis,Christos","P","NH"
"SFT"," 221","NAA","A","38","38","A1509A","08:00:00","10:40:00","N","N","N","Y","N","Diab,Ziad","P","NH"
"SFT"," 221","NBB","A","40","37","C3034","10:45:00","13:25:00","N","N","N","N","Y","Diab,Ziad","P","NH"
"SFT"," 221","NCC","A","38","38","A1509","08:00:00","10:40:00","N","N","N","N","Y","Diab,Ziad","P","NH"
"OPS"," 410","NAA","A","10","6","ONLINE","16:15:00","18:00:00","Y","N","Y","N","N","Doulatyari,Ebrahim","OB","NH"
"PRJ"," 566","NAA","A","35","35","B1079","13:30:00","15:15:00","N","N","Y","N","N","Elmankabady,Yasser","H","NH"
"PRJ"," 566","NAA","A","35","35","ONLINE","15:20:00","17:05:00","Y","N","N","N","N","Elmankabady,Yasser","H","NH"
"PRJ"," 566","NBB","A","35","35","B1024","11:40:00","13:25:00","N","N","Y","N","N","Elmankabady,Yasser","H","NH"
"PRJ"," 566","NBB","A","35","35","ONLINE","13:30:00","15:15:00","Y","N","N","N","N","Elmankabady,Yasser","H","NH"
"PRJ"," 666","NBB","S","35","26","ONLINE","08:00:00","09:45:00","N","N","N","N","Y","Elmankabady,Yasser","H","NH"
"PRJ"," 666","NBB","S","35","26","B1079","09:50:00","11:35:00","N","N","Y","N","N","Elmankabady,Yasser","H","NH"
"LPE"," 945","NAA","A","36","16","ONLINE","15:20:00","18:00:00","N","N","N","N","Y","Erfanian,Masood","OB","NH"
"PMC"," 220","NCE","A","20","7","ONLINE","08:55:00","11:35:00","N","N","N","N","N","Erfanian,Masood","OB","NH"
"SRT"," 751","NAA","A","36","18","ONLINE","13:30:00","16:10:00","N","Y","N","N","N","Erfanian,Masood","OB","NH"
"PMC"," 801","NCE","A","30","11","ONLINE","19:00:00","20:45:00","N","N","N","Y","N","Esfandian,ali","H","NH"
"PMC"," 801","NCE","A","30","11","C4034","17:10:00","18:55:00","N","Y","N","N","N","Esfandian,ali","H","NH"
"BTM"," 110","NAA","A","35","20","C3034","08:00:00","10:40:00","N","N","N","N","Y","Fanaeian,Yasemin","P","NH"
"BTM"," 300","NAA","A","30","20","C3030","11:40:00","14:20:00","N","N","N","N","Y","Fanaeian,Yasemin","P","NH"
"BTM"," 700","NAA","A","52","29","K2100A","08:00:00","10:40:00","N","N","Y","N","N","Fanaeian,Yasemin","P","NH"
"WAS"," 500","NAA","A","36","13","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Feng,Yuhui","H","NH"
"WAS"," 500","NAA","A","36","13","C3032","13:30:00","15:15:00","N","N","Y","N","N","Feng,Yuhui","H","NH"
"WAS"," 500","NBB","A","36","27","A4513","15:20:00","17:05:00","N","N","Y","N","N","Feng,Yuhui","H","NH"
"WAS"," 500","NBB","A","36","27","ONLINE","10:45:00","12:30:00","N","N","N","N","Y","Feng,Yuhui","H","NH"
"OPS"," 105","NBB","A","36","36","C2030","11:40:00","13:25:00","N","N","N","Y","N","Fernandes,Mark","P","NH"
"OPS"," 105","NBB","A","36","36","C2034","15:20:00","17:05:00","N","N","Y","N","N","Fernandes,Mark","P","NH"
"OPS"," 105","NCC","A","36","34","C2030","15:20:00","17:05:00","N","N","N","Y","N","Fernandes,Mark","P","NH"
"OPS"," 105","NCC","A","36","34","C2034","09:50:00","11:35:00","Y","N","N","N","N","Fernandes,Mark","P","NH"
